"MacBook Pro, macOS 11.6, Intel(R) Core(TM) i7 @ 2.9 GHz"                0.7366  0.5500  0.2211  0.4432  1.7170  0.7573
"Windows 11, Intel Xeon(R) W-2133 @ 3.60 GHz"		                     0.3983  0.2755  0.2231  0.4463  0.2517  0.1754
"iMac, macOS 12.1, Intel Core i9 @ 3.6 GHz"                        0.3410  0.2640  0.1514  0.2883  0.6711  0.3848
"Windows 11, AMD Ryzen(TM) 5 Pro 6650U @ 2.9 GHz"                             0.6737  0.3595  0.1375  0.4712  0.4325  0.2418
"Windows 11, AMD Ryzen Threadripper(TM) 3970x @ 3.50 GHz"                   0.2049  0.1730  0.1858  1.2342  0.1952  0.1211
"Debian 11(R), AMD Ryzen Threadripper 2950x @ 3.50 GHz"                   0.3386  0.2451  0.1778  1.2104  0.2420  0.1982
"Windows 11, Intel Core i9-12900 @ 2.4 GHz"                               0.2412  0.1537  0.0938  0.2071  0.1285  0.2198
"Windows 11, Intel Core i7-1185G7 CPU @ 3.00 GHz"                               0.5330  0.3032  0.1488  0.3094  0.2628  0.1627
